trialIndex,stimFile,opt1,opt2,opt3,opt4,corrAns,group
1,argentina_01_antigua_estacion_trelew_3,阿根廷,西班牙,日本,南非,阿根廷,A
2,argentina_02_elchaltenfitzroy,阿根廷,紐西蘭,挪威,肯亞,阿根廷,A
3,argentina_03_la_canada_de_cordoba_durante_una_lluvia_2010-03-02,阿根廷,西班牙,日本,南非,阿根廷,A
7,brazil_03_cachoeira_no_circuito_das_aguas_no_parque_estadual_de_ibitipoca_-_mg,巴西,挪威,越南,南非,巴西,A
8,canada_01_china_town,加拿大,中國,英國,澳洲,加拿大,A
9,canada_02_cultus_lake,加拿大,挪威,紐西蘭,日本,加拿大,A
10,canada_04_official_residence_of_the_prime_minister_of_canada_from_the_ottawa_river,加拿大,英國,澳洲,日本,加拿大,A
11,canada_051501_mcgill_college_05,加拿大,英國,澳洲,印度,加拿大,A
13,china_02_6,中國,法國,墨西哥,南非,中國,A
16,egypt_01_al-qurn_egypt_-_panoramio_2,埃及,約旦,智利,澳洲,埃及,A
17,egypt_02_luxortempleabuhaggagrestaur,埃及,伊拉克,墨西哥,希臘,埃及,A
18,egypt_03_cairo_nile_a_view_from_tahrir_bridge_towards_north_egypt_oct_2004,埃及,伊拉克,荷蘭,巴西,埃及,A
19,ethiopia_02_portuguese_bridge_debre_libanos_ethiopia_2002_-_panoramio,伊索比亞,葡萄牙,印度,巴西,伊索比亞,A
21,green_island_01_costa_cerca_de_grindavik_su_urland_islandia_2014-08-13_dd_080,冰島,紐西蘭,加拿大,日本,冰島,A
22,greenisland_02_brynjudalur,冰島,紐西蘭,加拿大,日本,冰島,A
24,india_01_allahabad_fort,印度,埃及,西班牙,墨西哥,印度,A
25,indonesia_03_pesisir_pantai_baron_-_panoramio,印尼,澳洲,巴西,南非,印尼,A
28,iraq_03_nablus_street_victor_grigas_2011_-1-68,伊拉克,摩洛哥,希臘,巴西,伊拉克,A
29,italy_01_san_benigno_canavese-torre_dellabbazia_della_fruttuaria,義大利,日本,墨西哥,摩洛哥,義大利,A
30,japan_01_ehime_budokan_-_panoramio,日本,德國,美國,澳洲,日本,A
31,japan_02_fukuyama_museum_of_art_-_panoramio,日本,法國,加拿大,澳洲,日本,A
32,japan_03gifu-keirin-3,日本,德國,美國,澳洲,日本,A
33,kazakhstan_01_astana_dsc04329_7711227994,哈薩克,法國,美國,南非,哈薩克,A
34,mexico_02_boncochinchoro,墨西哥,菲律賓,澳洲,南非,墨西哥,A
36,nicaragua_01_solentiname_island,尼加拉瓜,菲律賓,澳洲,南非,尼加拉瓜,A
37,norway_02_danvikskanalen_2011x,挪威,日本,加拿大,澳洲,挪威,A
38,papua_new_guinea_01_milnebay-alotau,巴布亞紐幾內亞,印尼,肯亞,巴西,巴布亞紐幾內亞,A
39,papua_new_guinea_02_thatdun_memorial_baptist_church,巴布亞紐幾內亞,菲律賓,肯亞,葡萄牙,巴布亞紐幾內亞,A
40,qatar_01_souq_waqif_doha_catar_2013-08-05_dd_57,卡達,摩洛哥,西班牙,巴西,卡達,A
41,qatar_02_souq_waqif_doha_catar_2013-08-05_dd_113,卡達,摩洛哥,西班牙,澳洲,卡達,A
42,romania_04_muzeul_memorial_ady_endre_-_panoramio,羅馬尼亞,日本,加拿大,南非,羅馬尼亞,A
45,south_africa_02_berlin_falls_img_2556,南非,巴西,挪威,澳洲,南非,A
47,spain_02_2017_08_41_adarra_aballarri,西班牙,智利,日本,紐西蘭,西班牙,A
49,taiwan_02_venation_14,台灣,法國,巴西,紐西蘭,台灣,A
50,us_02_street_bridge_washinton,美國,英國,日本,澳洲,美國,A
51,us_03_2016-10-06_14_33_47_view_of_interstate_395_and_us_route_1_14th_street_bridge_as_it_crosses_the_potomac_river_to_washington_dc_from_the_river_shore_just_north_of_the_bridge_in_a,美國,英國,日本,澳洲,美國,A
53,arabia_sheikh_zayed_palace,阿拉伯聯合大公國,摩洛哥,西班牙,巴西,阿拉伯聯合大公國,B
54,argentina_buenos_aires_obelisco,阿根廷,法國,印度,埃及,阿根廷,B
55,argentina_iguazu_falls,阿根廷,辛巴威,挪威,印尼,阿根廷,B
57,austria_hallstatt,奧地利,日本,智利,紐西蘭,奧地利,B
58,bolivia_tiwanaku,玻利維亞,柬埔寨,埃及,澳洲,玻利維亞,B
60,canada_banff_nationalpark,加拿大,挪威,紐西蘭,中國,加拿大,B
62,chile_atacama_desert,智利,埃及,伊朗,澳洲,智利,B
65,columnbia_santuariade_neustra_sanctuary,哥倫比亞,菲律賓,葡萄牙,衣索比亞,哥倫比亞,B
66,croatia_dubrovnik,克羅埃西亞,土耳其,墨西哥,摩洛哥,克羅埃西亞,B
68,czeck_prague_castle,捷克,日本,南非,阿根廷,捷克,B
73,ethopia_lalibela_rock_churches,衣索比亞,印度,希臘,祕魯,衣索比亞,B
75,greek_anthem,希臘,土耳其,埃及,墨西哥,希臘,B
76,greek_meteora,希臘,中國,衣索比亞,阿根廷,希臘,B
78,holland_rotterdam,荷蘭,日本,加拿大,澳洲,荷蘭,B
81,israel_jordon_deadsea,以色列,摩洛哥,玻利維亞,澳洲,以色列,B
